epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9215,1.72366,6.63856,0.00779,0.62025,0.25939,0.21528,0.13887,1.57988,3.31347,0.01083,0.00054,0.00054,0.00054
2,24.1295,1.84639,2.39934,0.00845,0.71248,0.13652,0.2113,0.12413,1.98189,3.0567,0.01322,0.00108639,0.00108639,0.00108639
3,36.3488,2.00695,2.02747,0.00854,0.60135,0.23549,0.21073,0.11101,2.09311,2.37337,0.01397,0.00161892,0.00161892,0.00161892
4,48.6206,2.00694,1.79421,0.00901,0.45026,0.14676,0.13315,0.05278,2.31664,2.51312,0.01694,0.00192575,0.00192575,0.00192575
5,60.6835,1.93461,1.72521,0.00902,0.01916,0.05461,0.02645,0.01274,2.73617,4.6129,0.02218,0.001901,0.001901,0.001901
6,72.7965,2.01846,1.63825,0.00991,0.48901,0.24573,0.18649,0.06097,2.7059,2.46477,0.02189,0.00187625,0.00187625,0.00187625
7,84.8824,1.97764,1.59728,0.00985,0.47754,0.23085,0.22379,0.12288,2.01966,2.01068,0.01326,0.0018515,0.0018515,0.0018515
8,96.8203,1.95483,1.64902,0.00892,0.5739,0.23891,0.21397,0.12076,2.22609,2.18627,0.01602,0.00182675,0.00182675,0.00182675
9,109.347,1.8959,1.51712,0.00842,0.60292,0.32082,0.30027,0.16744,1.97874,1.72685,0.01366,0.001802,0.001802,0.001802
10,119.813,1.93248,1.5019,0.00854,0.70946,0.30717,0.28614,0.16057,1.98324,1.68932,0.01355,0.00177725,0.00177725,0.00177725
11,130.292,1.91881,1.53642,0.00794,0.71167,0.32011,0.30457,0.18576,1.87099,1.46602,0.01291,0.0017525,0.0017525,0.0017525
12,140.703,1.86523,1.50211,0.00807,0.71398,0.31399,0.30185,0.19181,1.81507,1.49379,0.0121,0.00172775,0.00172775,0.00172775
13,151.305,1.84502,1.43082,0.00777,0.67151,0.32792,0.31837,0.16613,2.0711,1.52399,0.015,0.001703,0.001703,0.001703
14,161.735,1.86643,1.45972,0.00769,0.71453,0.27336,0.28448,0.17716,1.86017,1.67039,0.0116,0.00167825,0.00167825,0.00167825
15,172.285,1.85084,1.51078,0.00746,0.72355,0.33106,0.33336,0.17058,2.18168,1.47499,0.01545,0.0016535,0.0016535,0.0016535
16,183.138,1.84926,1.42792,0.00787,0.67937,0.23891,0.24573,0.14937,1.98394,1.94577,0.01276,0.00162875,0.00162875,0.00162875
17,196.444,1.8745,1.44639,0.00788,0.71627,0.26621,0.27806,0.18936,1.7491,1.57443,0.01024,0.001604,0.001604,0.001604
18,209.165,1.81344,1.33166,0.0079,0.71172,0.30034,0.31839,0.20287,1.83572,1.46572,0.01156,0.00157925,0.00157925,0.00157925
19,221.271,1.83401,1.30583,0.00769,0.7357,0.32302,0.32924,0.19349,2.07613,1.49447,0.01303,0.0015545,0.0015545,0.0015545
20,233.387,1.94092,1.35179,0.00787,0.62774,0.28669,0.28976,0.1779,1.96207,1.77461,0.01234,0.00152975,0.00152975,0.00152975
21,245.493,1.8022,1.25586,0.00767,0.65289,0.31741,0.2974,0.16572,2.09758,1.6701,0.01381,0.001505,0.001505,0.001505
22,259.019,1.88197,1.31197,0.00778,0.66764,0.32082,0.32171,0.21289,1.89209,1.46443,0.0109,0.00148025,0.00148025,0.00148025
23,272.732,1.97179,1.37129,0.0079,0.72926,0.32082,0.30253,0.16732,2.14498,1.58856,0.0136,0.0014555,0.0014555,0.0014555
24,284.743,1.8458,1.33951,0.0072,0.72789,0.31058,0.31049,0.18779,1.97311,1.53406,0.01186,0.00143075,0.00143075,0.00143075
25,296.797,1.85927,1.28283,0.00757,0.7284,0.29291,0.27743,0.16998,2.06917,1.86161,0.01246,0.001406,0.001406,0.001406
26,308.84,1.93083,1.3681,0.00777,0.65623,0.29318,0.28331,0.17726,1.98628,1.8283,0.01137,0.00138125,0.00138125,0.00138125
27,324.115,1.85144,1.31309,0.00698,0.68575,0.32082,0.31363,0.19058,1.94702,1.60065,0.01162,0.0013565,0.0013565,0.0013565
