iter	Passed	Remaining
418	2353	3263
419	2358	3256
420	2362	3249
421	2367	3242
422	2372	3236
423	2378	3230
424	2382	3223
425	2387	3217
426	2392	3210
427	2397	3204
428	2402	3197
429	2407	3190
430	2411	3184
431	2416	3177
432	2422	3172
433	2427	3165
434	2432	3159
435	2436	3152
436	2441	3145
437	2446	3138
438	2452	3133
439	2457	3127
440	2461	3120
441	2466	3113
442	2471	3107
443	2477	3102
444	2482	3095
445	2488	3090
446	2494	3085
447	2499	3079
448	2504	3073
449	2509	3066
450	2514	3060
451	2519	3054
452	2523	3047
453	2528	3040
454	2533	3034
455	2537	3027
456	2542	3020
457	2547	3014
458	2552	3008
459	2556	3001
460	2561	2995
461	2566	2988
462	2571	2982
463	2575	2975
464	2580	2969
465	2586	2964
466	2591	2958
467	2596	2951
468	2601	2945
469	2606	2939
470	2611	2932
471	2615	2926
472	2620	2919
473	2625	2912
474	2629	2906
475	2634	2900
476	2639	2894
477	2644	2888
478	2649	2881
479	2654	2875
480	2659	2869
481	2664	2863
482	2669	2857
483	2674	2851
484	2681	2846
485	2686	2841
486	2691	2835
487	2696	2829
488	2701	2823
489	2707	2817
490	2712	2812
491	2718	2806
492	2723	2801
493	2729	2795
494	2734	2789
495	2740	2784
496	2745	2778
497	2750	2772
498	2755	2766
499	2761	2761
500	2767	2756
501	2772	2750
502	2777	2744
503	2783	2739
504	2789	2734
505	2795	2728
506	2800	2723
507	2806	2717
508	2810	2711
509	2815	2705
510	2820	2698
511	2825	2692
512	2829	2686
513	2834	2680
514	2839	2674
515	2844	2668
516	2849	2661
517	2853	2655
518	2858	2649
519	2863	2642
520	2867	2636
521	2872	2630
522	2878	2624
523	2883	2619
524	2889	2614
525	2895	2609
526	2902	2604
527	2908	2600
528	2914	2594
529	2919	2589
530	2925	2583
531	2930	2577
532	2935	2572
533	2942	2567
534	2948	2562
535	2953	2556
536	2958	2551
537	2963	2545
538	2968	2539
539	2973	2533
540	2978	2527
541	2985	2522
542	2990	2517
543	2997	2512
544	3003	2507
545	3011	2504
546	3016	2498
547	3021	2492
548	3026	2486
549	3031	2480
550	3036	2474
551	3041	2468
552	3045	2462
553	3050	2455
554	3055	2449
555	3060	2443
556	3065	2437
557	3070	2431
558	3075	2426
559	3080	2420
560	3086	2414
561	3091	2409
562	3097	2404
563	3102	2398
564	3108	2393
565	3113	2387
566	3118	2381
567	3123	2375
568	3128	2370
569	3134	2364
570	3139	2358
571	3143	2352
572	3149	2347
573	3155	2341
574	3160	2335
575	3165	2329
576	3169	2323
577	3174	2317
578	3179	2311
579	3184	2306
580	3189	2300
581	3195	2295
582	3201	2289
583	3205	2283
584	3210	2277
585	3215	2271
586	3220	2265
587	3225	2260
588	3230	2254
589	3235	2248
590	3240	2242
591	3245	2236
592	3250	2231
593	3255	2225
594	3259	2218
595	3264	2212
596	3269	2206
597	3274	2201
598	3279	2195
599	3284	2189
600	3289	2183
601	3295	2178
602	3300	2173
603	3305	2167
604	3310	2161
605	3315	2155
606	3320	2150
607	3325	2144
608	3331	2139
609	3337	2133
610	3341	2127
611	3347	2122
612	3352	2116
613	3357	2110
614	3362	2104
615	3367	2099
616	3372	2093
617	3377	2087
618	3382	2081
619	3387	2076
620	3392	2070
621	3397	2064
622	3402	2059
623	3407	2053
624	3412	2047
625	3417	2041
626	3423	2036
627	3429	2031
628	3434	2025
629	3439	2020
630	3444	2014
631	3449	2008
632	3454	2002
633	3459	1997
634	3465	1991
635	3471	1986
636	3476	1981
637	3482	1975
638	3488	1971
639	3497	1967
640	3504	1962
641	3511	1958
642	3519	1953
643	3526	1949
644	3533	1944
645	3540	1940
646	3548	1935
647	3556	1932
648	3563	1927
649	3572	1923
650	3580	1919
651	3589	1915
652	3611	1918
653	3618	1914
654	3626	1910
655	3635	1906
656	3643	1902
657	3650	1897
658	3659	1893
659	3668	1889
660	3677	1885
661	3684	1881
662	3693	1877
663	3703	1873
664	3711	1869
665	3721	1866
666	3730	1862
667	3739	1858
668	3750	1855
669	3756	1850
670	3766	1846
671	3776	1843
672	3786	1839
673	3795	1835
674	3805	1832
675	3815	1828
676	3824	1824
677	3833	1820
678	3843	1817
679	3852	1813
680	3861	1809
681	3871	1805
682	3880	1801
683	3889	1796
684	3898	1792
685	3908	1789
686	3917	1784
687	3926	1780
688	3933	1775
689	3940	1770
690	3948	1765
691	3956	1761
692	3966	1757
693	3977	1753
694	3986	1749
695	3993	1744
696	4001	1739
697	4011	1735
698	4020	1731
699	4030	1727
700	4040	1723
701	4048	1718
702	4057	1714
703	4066	1709
704	4075	1705
705	4084	1700
706	4092	1696
707	4101	1691
708	4110	1687
709	4119	1682
710	4127	1677
711	4136	1673
712	4144	1668
713	4152	1663
714	4159	1657
715	4166	1652
716	4173	1647
717	4179	1641
718	4187	1636
719	4193	1630
720	4200	1625
721	4206	1619
722	4213	1614
723	4221	1609
724	4228	1603
725	4235	1598
726	4241	1592
727	4247	1586
728	4253	1581
729	4260	1575
730	4267	1570
731	4273	1564
732	4280	1559
733	4286	1553
734	4292	1547
735	4298	1541
736	4304	1535
737	4310	1530
738	4317	1524
739	4323	1519
740	4330	1513
741	4336	1507
742	4342	1501
743	4348	1496
744	4354	1490
745	4359	1484
746	4365	1478
747	4371	1472
748	4377	1466
749	4383	1461
750	4389	1455
751	4395	1449
752	4401	1443
753	4408	1438
754	4414	1432
755	4420	1426
756	4426	1420
757	4432	1414
758	4438	1409
759	4444	1403
760	4450	1397
761	4456	1391
762	4462	1386
763	4469	1380
764	4475	1374
765	4481	1368
766	4487	1363
767	4493	1357
768	4499	1351
769	4505	1345
770	4512	1340
771	4518	1334
772	4524	1328
773	4530	1322
774	4536	1316
775	4542	1311
776	4548	1305
777	4554	1299
778	4560	1293
779	4567	1288
780	4572	1282
781	4578	1276
782	4583	1270
783	4588	1264
784	4594	1258
785	4599	1252
786	4605	1246
787	4612	1240
788	4617	1234
789	4623	1229
790	4628	1223
791	4634	1217
792	4640	1211
793	4646	1205
794	4653	1199
795	4659	1194
796	4666	1188
797	4672	1182
798	4678	1176
799	4684	1171
800	4690	1165
801	4696	1159
802	4702	1153
803	4708	1147
804	4715	1142
805	4721	1136
806	4727	1130
807	4732	1124
808	4738	1118
809	4744	1112
810	4749	1106
