iter	MultiRMSE
0	121.9735539
1	114.8947522
2	108.5030585
3	103.6647336
4	98.8631645
5	94.68142179
6	90.54638951
7	87.67132001
8	84.78580197
9	82.17955561
10	79.59113039
11	77.46027247
12	75.32369196
13	73.11047204
14	71.16170563
15	69.64311708
16	68.27034942
17	67.40300529
18	65.66791744
19	64.54753319
20	63.49838687
21	62.49256734
22	61.51781867
23	60.44996219
24	59.0973589
25	58.38310372
26	57.70326595
27	57.2786389
28	56.21593178
29	55.82177727
30	55.17176215
31	54.31853315
32	53.51092805
33	52.8275697
34	52.31048254
35	51.95577839
36	51.58004477
37	50.97657822
38	50.60466188
39	49.80391344
40	49.47099808
41	48.47973946
42	48.08177376
43	47.44075657
44	47.07751435
45	46.66169823
46	46.33960205
47	46.04445579
48	45.72049642
49	44.95303785
50	44.68175752
51	44.47225239
52	44.19238993
53	43.88493936
54	43.70658885
55	43.53218888
56	42.83315605
57	42.52907991
58	42.39029972
59	42.10288844
60	41.83134259
61	41.4321488
62	41.16973017
63	40.99949858
64	40.59126769
65	40.43299191
66	40.0439244
67	39.903565
68	39.59322874
69	38.97895435
70	38.57399834
71	38.02891818
72	37.78411154
73	37.57870452
74	37.39648797
75	37.20089312
76	36.75997899
77	36.24456146
78	36.01662558
79	35.81674326
80	35.35035591
81	35.02069037
82	34.7189414
83	34.60319782
84	34.35089817
85	33.87905752
86	33.59317582
87	33.42138123
88	33.06262351
89	32.83180198
90	32.50082356
91	32.2462493
92	32.01929087
93	31.87351772
94	31.65711517
95	31.39984624
96	31.19144603
97	30.72297272
98	30.52293612
99	30.39119836
100	30.18083897
101	29.91369957
102	29.45226607
103	29.30532778
104	28.98185501
105	28.84485619
106	28.62254295
107	28.27916617
108	27.956448
109	27.70118425
110	27.53138352
111	27.32595394
112	27.20345783
113	27.08550344
114	26.91567081
115	26.55503302
116	26.19065971
117	25.92604948
118	25.79779074
119	25.55595149
120	25.32695597
121	25.2297643
122	25.03693006
123	24.95120824
124	24.73433216
125	24.56448305
126	24.3427246
127	24.123312
128	23.87653543
129	23.70955865
130	23.60446962
131	23.48811222
132	23.38510669
133	23.1500723
134	22.91353412
135	22.77431031
136	22.63923907
137	22.4452914
138	22.32456529
139	22.25177546
140	21.96003613
141	21.737873
142	21.6421094
143	21.52764267
144	21.34778342
145	21.2598387
146	21.0857519
147	20.97519409
148	20.81450258
149	20.64343587
150	20.56753013
151	20.35963243
152	20.30018718
153	20.18328208
154	20.02325072
155	19.86345619
156	19.79529435
157	19.69656183
158	19.58825411
159	19.49745815
160	19.33595093
161	19.21684652
162	19.14798257
163	18.98000452
164	18.88506305
165	18.75707311
166	18.57350257
167	18.44784305
168	18.22526992
169	18.14151589
170	18.01558839
171	17.89177318
172	17.76940363
173	17.62512917
174	17.49857982
175	17.35888326
176	17.26877885
177	17.14272402
178	17.03365165
179	16.93920207
180	16.85705034
181	16.77801988
182	16.69853296
183	16.54799513
184	16.50012079
185	16.40916084
186	16.34532411
187	16.27734295
188	16.20919987
189	16.11126387
190	16.07010322
191	15.93694166
192	15.8382875
193	15.76504291
194	15.68638072
195	15.60931579
196	15.51784222
197	15.44521581
198	15.41466355
199	15.3596606
200	15.27102364
201	15.23009134
202	15.18141213
203	15.05153023
204	14.97077264
205	14.88105236
206	14.83821802
207	14.80552671
208	14.74770571
209	14.64431514
210	14.54182397
211	14.44741842
212	14.32746793
213	14.25469723
214	14.20677385
215	14.13921263
216	14.06594402
217	14.02713728
218	13.97659261
219	13.94211431
220	13.87448841
221	13.80562176
222	13.77206172
223	13.67700722
224	13.5723677
225	13.46029098
226	13.39589655
227	13.36430643
228	13.27577851
229	13.2311672
230	13.20615737
231	13.13861166
232	13.04912508
233	12.97733171
234	12.90887271
235	12.84763843
236	12.80460737
237	12.71624651
238	12.69880445
239	12.58928558
240	12.51164031
241	12.4663936
242	12.40721393
243	12.38611401
244	12.35373232
245	12.25166816
246	12.19647386
247	12.12635048
248	12.05190178
249	11.99404942
250	11.92149932
251	11.89169904
252	11.84283552
253	11.81127978
254	11.74905175
255	11.6738405
256	11.59036838
257	11.51997241
258	11.45986456
259	11.40183397
260	11.37716175
261	11.30924776
262	11.28336705
263	11.26500818
264	11.20921568
265	11.1795598
266	11.15593738
267	11.10278078
268	11.04698648
269	11.01584489
270	10.96516055
271	10.90014038
272	10.84760551
273	10.80697925
274	10.77205191
275	10.7132089
276	10.67541916
277	10.63069087
278	10.57668629
279	10.5161613
280	10.48195616
281	10.461602
282	10.42580777
283	10.36354054
284	10.32991507
285	10.26180524
286	10.21758974
287	10.17888669
288	10.13323383
289	10.08583737
290	10.03962726
291	9.993378683
292	9.955238364
293	9.899250136
294	9.838138735
295	9.818018329
296	9.789637847
297	9.761204364
298	9.730194143
299	9.684189181
300	9.660949602
301	9.638059042
302	9.582770019
303	9.543957057
304	9.505420936
305	9.455448294
306	9.400690014
307	9.376896591
308	9.311777487
309	9.278211605
310	9.256183571
311	9.211084737
312	9.149220618
313	9.122108337
314	9.055267773
315	9.023908142
316	8.98207408
317	8.945500057
318	8.908858297
319	8.892354076
320	8.852200709
321	8.82248821
322	8.809319749
323	8.757710309
324	8.740160347
325	8.682707018
326	8.638379651
327	8.608038926
328	8.582364979
329	8.542854831
330	8.515943308
331	8.468923604
332	8.438895309
333	8.409709172
334	8.358707338
335	8.300574931
336	8.264395371
337	8.233383057
338	8.222074338
339	8.207057105
340	8.179370914
341	8.16147175
342	8.129171457
343	8.086139061
344	8.074750115
345	8.057752184
346	8.035793679
347	8.014606771
348	7.986042918
349	7.950134526
350	7.909045932
351	7.881279904
352	7.870362934
353	7.837997872
354	7.821821952
355	7.785061626
356	7.748325456
357	7.721013528
358	7.701197779
359	7.668584912
360	7.638957222
361	7.627895474
362	7.595156654
363	7.572721687
364	7.545152359
365	7.517846174
366	7.497691851
367	7.469320069
368	7.438134678
369	7.421465183
370	7.400801477
371	7.372670543
372	7.352870401
373	7.316381833
374	7.303656309
375	7.262785936
376	7.248471177
377	7.218351178
378	7.193121699
379	7.171649023
380	7.15109418
381	7.138569846
382	7.122492475
383	7.101975883
384	7.063116624
385	7.025075571
386	7.01297613
387	6.961799567
388	6.939577982
389	6.92353559
390	6.897724237
391	6.883743551
392	6.87234528
393	6.843876303
394	6.813317246
395	6.789720495
396	6.760614925
397	6.735131124
398	6.723987983
399	6.713818609
400	6.68913619
401	6.671451261
402	6.63426889
403	6.619539739
404	6.608546879
405	6.588227109
406	6.561587998
407	6.554037909
408	6.528779617
409	6.504320165
410	6.488733932
411	6.470707068
412	6.441773627
413	6.422960114
414	6.40302546
415	6.368984952
416	6.357104598
417	6.322114129
418	6.304931271
419	6.28487151
420	6.260282748
421	6.248198301
422	6.241437443
423	6.226444695
424	6.205238468
425	6.173442329
426	6.164194626
427	6.150006019
428	6.133752791
429	6.111536901
430	6.091702283
431	6.081751077
432	6.061622277
433	6.047971879
434	6.025914971
435	6.013935807
436	5.987598813
437	5.970847651
438	5.952826282
439	5.934134061
440	5.907140582
441	5.888428124
442	5.865325412
443	5.845216359
444	5.835045153
445	5.815875002
446	5.791055441
447	5.768665469
448	5.753504972
449	5.737493025
450	5.718737459
