epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85122,1.53262,3.50674,0.00923,0.85114,0.53881,0.66737,0.50258,1.05944,1.65629,0.00858,0.00044,0.00044,0.00044
2,16.0557,1.60872,1.63969,0.00975,0.8058,0.71689,0.76726,0.48206,1.36605,1.15333,0.01319,0.00085545,0.00085545,0.00085545
3,23.2116,1.6873,1.38528,0.01022,0.66433,0.57838,0.62171,0.3581,1.51811,1.60689,0.01408,0.00122536,0.00122536,0.00122536
4,30.2638,1.58634,1.24207,0.00925,0.55401,0.45662,0.49092,0.30334,1.37154,1.70098,0.01338,0.00154973,0.00154973,0.00154973
5,37.3605,1.59416,1.18766,0.00931,0.83316,0.74429,0.80705,0.52383,1.31015,0.90913,0.01182,0.001604,0.001604,0.001604
6,44.4619,1.56601,1.10322,0.00909,0.91605,0.72146,0.7986,0.37222,2.06296,0.91349,0.02057,0.001505,0.001505,0.001505
7,51.4933,1.60156,1.04547,0.00984,0.74226,0.71012,0.75506,0.49008,1.38291,1.12196,0.01218,0.001406,0.001406,0.001406
8,58.5796,1.50448,0.9697,0.0095,0.86511,0.72146,0.78818,0.58256,1.10635,0.90074,0.00918,0.001307,0.001307,0.001307
9,65.6776,1.4998,1.0449,0.00886,0.90756,0.7621,0.83476,0.39941,1.89154,0.94003,0.01744,0.001208,0.001208,0.001208
10,72.7004,1.47142,0.99413,0.00814,0.95615,0.76712,0.84324,0.68488,0.8991,0.49279,0.00696,0.001109,0.001109,0.001109
11,92.0582,1.43403,0.86614,0.00928,0.88717,0.7899,0.84789,0.65596,1.02391,0.61325,0.00845,0.00101,0.00101,0.00101
12,99.6544,1.36245,0.87271,0.00912,0.87592,0.82648,0.85821,0.65261,1.03432,0.50126,0.00831,0.000911,0.000911,0.000911
13,106.644,1.37612,0.82993,0.00876,0.90571,0.78953,0.85646,0.69212,0.80613,0.51381,0.00608,0.000812,0.000812,0.000812
14,113.689,1.33456,0.7951,0.00892,0.89701,0.78995,0.85222,0.72408,0.73518,0.47753,0.00536,0.000713,0.000713,0.000713
15,120.688,1.39728,0.80295,0.00886,0.9093,0.82404,0.8746,0.57719,1.36814,0.57579,0.01168,0.000614,0.000614,0.000614
16,127.681,1.32699,0.78579,0.00832,0.94089,0.79952,0.8689,0.54652,1.38232,0.54771,0.01258,0.000515,0.000515,0.000515
17,134.693,1.30571,0.72737,0.00781,0.931,0.78995,0.86654,0.65489,0.97027,0.482,0.00774,0.000416,0.000416,0.000416
18,141.73,1.27016,0.73206,0.00748,0.97188,0.78915,0.87733,0.62032,1.19284,0.51072,0.01049,0.000317,0.000317,0.000317
19,148.763,1.23027,0.67228,0.00748,0.9607,0.78995,0.87622,0.63527,1.11564,0.49059,0.00957,0.000218,0.000218,0.000218
20,155.853,1.19877,0.71336,0.00675,0.94266,0.79909,0.87578,0.68022,0.93003,0.45352,0.00734,0.000119,0.000119,0.000119
