epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,620.788,1.22241,0.67655,0.00654,0.93271,0.75946,0.85909,0.63547,1.0823,0.59236,0.00956,0.0011684,0.0011684,0.0011684
44,634.658,1.25169,0.74078,0.00695,0.96693,0.80107,0.87828,0.74395,0.72734,0.36198,0.00517,0.0011486,0.0011486,0.0011486
45,649.2,1.19509,0.67617,0.00634,0.92677,0.809,0.8749,0.72031,0.7877,0.38173,0.006,0.0011288,0.0011288,0.0011288
46,662.967,1.28219,0.70592,0.00667,0.95164,0.80877,0.87758,0.7557,0.68652,0.40474,0.00476,0.001109,0.001109,0.001109
47,677.397,1.1806,0.68329,0.0064,0.90318,0.80929,0.86662,0.7392,0.73234,0.42951,0.00614,0.0010892,0.0010892,0.0010892
48,691.427,1.26671,0.75493,0.00628,0.96754,0.81674,0.88225,0.69171,0.94037,0.41738,0.00794,0.0010694,0.0010694,0.0010694
49,704.792,1.19278,0.6472,0.00632,0.94651,0.80795,0.88712,0.76005,0.70412,0.36779,0.00525,0.0010496,0.0010496,0.0010496
50,717.19,1.25576,0.74414,0.00619,0.93208,0.82648,0.87928,0.76058,0.69213,0.36473,0.00484,0.0010298,0.0010298,0.0010298
51,729.185,1.23352,0.69778,0.00639,0.93531,0.84475,0.89212,0.75185,0.71935,0.34721,0.00529,0.00101,0.00101,0.00101
52,740.818,1.23407,0.68145,0.00686,0.9212,0.85409,0.89182,0.7631,0.70959,0.34401,0.00521,0.0009902,0.0009902,0.0009902
53,752.379,1.18742,0.70463,0.00633,0.90629,0.84475,0.88093,0.72844,0.78769,0.39785,0.00576,0.0009704,0.0009704,0.0009704
54,764.091,1.18912,0.69351,0.00551,0.92921,0.84018,0.89076,0.74186,0.75686,0.40154,0.00534,0.0009506,0.0009506,0.0009506
55,776.099,1.14786,0.70145,0.00603,0.9414,0.83562,0.88589,0.73415,0.79293,0.39577,0.00616,0.0009308,0.0009308,0.0009308
56,788.207,1.11654,0.63942,0.00547,0.9339,0.83867,0.88609,0.74393,0.75407,0.34889,0.0052,0.000911,0.000911,0.000911
57,802.244,1.17803,0.68084,0.00534,0.9075,0.80642,0.87543,0.74249,0.67963,0.42075,0.00463,0.0008912,0.0008912,0.0008912
58,816.237,1.21195,0.70086,0.00578,0.94332,0.83597,0.88636,0.78604,0.58333,0.3386,0.00379,0.0008714,0.0008714,0.0008714
59,830.553,1.20091,0.64687,0.00611,0.87986,0.81279,0.86279,0.75541,0.60285,0.38937,0.00375,0.0008516,0.0008516,0.0008516
60,844.37,1.1859,0.69816,0.00625,0.94653,0.80833,0.873,0.77653,0.59565,0.36154,0.00395,0.0008318,0.0008318,0.0008318
61,858.601,1.08945,0.61941,0.00516,0.94036,0.82192,0.87288,0.78582,0.57897,0.35122,0.00374,0.000812,0.000812,0.000812
62,872.164,1.08612,0.60096,0.00566,0.97753,0.80365,0.89243,0.79448,0.63592,0.30705,0.00423,0.0007922,0.0007922,0.0007922
63,886.006,1.13693,0.64853,0.00583,0.92929,0.84014,0.8875,0.77338,0.65246,0.33069,0.00444,0.0007724,0.0007724,0.0007724
64,898.096,1.13005,0.63057,0.00545,0.97321,0.82948,0.89538,0.77616,0.6432,0.31991,0.00432,0.0007526,0.0007526,0.0007526
65,909.806,1.1252,0.63212,0.00553,0.95854,0.84475,0.89791,0.77057,0.7103,0.33903,0.00477,0.0007328,0.0007328,0.0007328
66,921.552,1.16014,0.63073,0.00571,0.96763,0.819,0.8968,0.76988,0.69052,0.33764,0.00501,0.000713,0.000713,0.000713
67,933.096,1.14388,0.60565,0.00537,0.94554,0.83562,0.89152,0.79693,0.59357,0.31944,0.00388,0.0006932,0.0006932,0.0006932
68,945.279,1.13406,0.64268,0.00517,0.95695,0.81193,0.88525,0.79635,0.56779,0.32966,0.00365,0.0006734,0.0006734,0.0006734
69,957.014,1.1175,0.62654,0.0053,0.93515,0.85606,0.89033,0.80256,0.56322,0.31448,0.00339,0.0006536,0.0006536,0.0006536
70,969.162,1.1885,0.65998,0.0049,0.93967,0.85338,0.89059,0.75904,0.68655,0.34318,0.00459,0.0006338,0.0006338,0.0006338
71,981.295,1.02471,0.56651,0.00511,0.92297,0.84932,0.88901,0.77059,0.67266,0.35386,0.0044,0.000614,0.000614,0.000614
72,993.011,1.07272,0.62791,0.00514,0.93797,0.82851,0.8867,0.75314,0.70291,0.34462,0.0047,0.0005942,0.0005942,0.0005942
73,1004.69,1.08706,0.63378,0.00541,0.94263,0.82522,0.88807,0.79213,0.61308,0.33478,0.0037,0.0005744,0.0005744,0.0005744
