epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.191,1.53262,3.50674,0.00923,0.85114,0.53881,0.66737,0.50258,1.05944,1.65629,0.00858,0.00044,0.00044,0.00044
2,19.7421,1.62385,1.67146,0.00969,0.79386,0.70776,0.73285,0.41877,1.37902,1.47414,0.01318,0.00089109,0.00089109,0.00089109
3,27.6189,1.67832,1.45149,0.0103,0.50981,0.48858,0.51549,0.20155,1.85767,1.70333,0.01937,0.00133307,0.00133307,0.00133307
4,36.3175,1.68925,1.27252,0.00971,0.78946,0.61639,0.68581,0.38171,1.65458,1.4068,0.01724,0.00176595,0.00176595,0.00176595
5,45.0707,1.64523,1.21534,0.00996,0.76626,0.55386,0.61294,0.28129,1.89103,2.51076,0.02069,0.0019208,0.0019208,0.0019208
6,53.784,1.61924,1.14002,0.00951,0.75286,0.55641,0.60661,0.33077,1.80779,1.83466,0.01751,0.001901,0.001901,0.001901
7,61.5812,1.58142,1.00405,0.0096,0.93126,0.73516,0.81827,0.5299,1.41453,0.81765,0.01243,0.0018812,0.0018812,0.0018812
8,69.0541,1.52993,0.90991,0.00964,0.86529,0.41096,0.49038,0.31603,1.66648,2.08017,0.01654,0.0018614,0.0018614,0.0018614
9,76.2678,1.60343,1.01813,0.00976,0.9344,0.74886,0.83484,0.51383,1.56377,0.77866,0.0142,0.0018416,0.0018416,0.0018416
10,83.5849,1.61937,0.99184,0.00929,0.94245,0.67305,0.75732,0.52516,1.21083,0.89726,0.01041,0.0018218,0.0018218,0.0018218
11,90.8233,1.56801,0.90651,0.00981,0.34199,0.36073,0.36828,0.27086,1.79403,3.77981,0.01716,0.001802,0.001802,0.001802
12,98.1236,1.48546,0.88815,0.00959,0.80023,0.29266,0.42667,0.27281,1.8165,3.03572,0.01851,0.0017822,0.0017822,0.0017822
13,105.491,1.51412,0.88548,0.00873,0.90038,0.49526,0.5344,0.41167,1.33295,2.36659,0.01178,0.0017624,0.0017624,0.0017624
14,112.908,1.56467,0.93878,0.00896,0.94034,0.79452,0.84722,0.54789,1.45098,0.59833,0.0141,0.0017426,0.0017426,0.0017426
15,120.16,1.42761,0.86987,0.00818,0.9212,0.8007,0.84753,0.52327,1.39257,0.54679,0.01307,0.0017228,0.0017228,0.0017228
16,127.373,1.42288,0.81608,0.00867,0.86765,0.5388,0.68154,0.43901,1.3247,1.15714,0.01302,0.001703,0.001703,0.001703
17,134.657,1.49962,0.8829,0.00841,0.95216,0.81801,0.86806,0.43562,1.80834,0.66801,0.02005,0.0016832,0.0016832,0.0016832
18,142.038,1.49658,0.89756,0.00835,0.94403,0.80365,0.86609,0.53359,1.44399,0.59161,0.01282,0.0016634,0.0016634,0.0016634
19,150.325,1.43675,0.83254,0.00769,0.94252,0.82362,0.86531,0.53414,1.53903,0.55276,0.01435,0.0016436,0.0016436,0.0016436
20,158.961,1.39647,0.78628,0.0086,0.97641,0.75614,0.86377,0.62624,1.09866,0.50133,0.00937,0.0016238,0.0016238,0.0016238
21,167.71,1.401,0.83602,0.00837,0.95596,0.77169,0.86026,0.54426,1.41802,0.58791,0.01435,0.001604,0.001604,0.001604
22,176.374,1.43369,0.88565,0.00797,0.98175,0.78539,0.86552,0.52919,1.48447,0.5556,0.01461,0.0015842,0.0015842,0.0015842
23,185.034,1.39761,0.78092,0.00787,0.95215,0.81768,0.87641,0.44775,1.86847,0.59409,0.01999,0.0015644,0.0015644,0.0015644
24,193.763,1.38472,0.72734,0.00829,0.92318,0.82317,0.86708,0.56365,1.33911,0.51319,0.0131,0.0015446,0.0015446,0.0015446
25,202.386,1.49147,0.8334,0.00839,0.97158,0.78056,0.86565,0.5391,1.4122,0.51708,0.01363,0.0015248,0.0015248,0.0015248
26,211.058,1.42225,0.81573,0.00789,0.92659,0.73059,0.8338,0.58176,1.17768,0.74237,0.01065,0.001505,0.001505,0.001505
27,219.73,1.37376,0.73208,0.00841,0.90641,0.79598,0.84562,0.56273,1.30698,0.60897,0.01137,0.0014852,0.0014852,0.0014852
28,228.298,1.31854,0.73452,0.00757,0.96628,0.80365,0.87067,0.5865,1.32656,0.53746,0.01297,0.0014654,0.0014654,0.0014654
29,237,1.38127,0.76988,0.00749,0.9776,0.79704,0.87424,0.51214,1.53642,0.54043,0.01528,0.0014456,0.0014456,0.0014456
30,245.544,1.34631,0.7785,0.00728,0.93327,0.83026,0.87534,0.59185,1.22933,0.55693,0.0111,0.0014258,0.0014258,0.0014258
31,252.687,1.39853,0.75117,0.00779,0.9436,0.83562,0.86865,0.54337,1.39746,0.55349,0.01408,0.001406,0.001406,0.001406
32,259.823,1.31077,0.69926,0.00744,0.93816,0.83123,0.87384,0.5854,1.33406,0.47837,0.01278,0.0013862,0.0013862,0.0013862
33,266.902,1.28183,0.69663,0.0072,0.90635,0.84475,0.86633,0.53201,1.41682,0.51932,0.01497,0.0013664,0.0013664,0.0013664
34,274.013,1.37606,0.80186,0.00727,0.95288,0.80365,0.85088,0.56093,1.33409,0.49724,0.01174,0.0013466,0.0013466,0.0013466
35,281.176,1.38747,0.78311,0.0076,0.96231,0.80822,0.86431,0.56504,1.3549,0.52032,0.01329,0.0013268,0.0013268,0.0013268
36,288.327,1.40121,0.76918,0.00708,0.96423,0.81735,0.87254,0.54874,1.37935,0.49347,0.013,0.001307,0.001307,0.001307
37,295.499,1.32037,0.74856,0.00677,0.9524,0.82225,0.87161,0.4967,1.63432,0.53342,0.01599,0.0012872,0.0012872,0.0012872
38,302.628,1.27648,0.6742,0.00716,0.97363,0.84932,0.88917,0.54671,1.39962,0.4678,0.01349,0.0012674,0.0012674,0.0012674
