epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5228,1.60669,4.8925,0.00766,0.26145,0.16041,0.10403,0.05519,1.44722,2.96395,0.00885,0.00032,0.00032,0.00032
2,12.9662,1.79363,2.51718,0.00785,0.51961,0.27645,0.20168,0.11333,1.61811,2.1868,0.01045,0.00062733,0.00062733,0.00062733
3,18.361,1.86687,1.93783,0.00806,0.3812,0.21446,0.16473,0.06527,1.73266,2.41851,0.01202,0.000901,0.000901,0.000901
4,23.7459,1.92682,1.86947,0.00852,0.49457,0.23549,0.2199,0.11572,1.81114,2.16058,0.01221,0.00114101,0.00114101,0.00114101
5,29.1455,1.889,1.77136,0.0086,0.54417,0.27299,0.27643,0.19169,1.58417,1.85086,0.00984,0.00134736,0.00134736,0.00134736
6,34.5335,1.89077,1.55378,0.00806,0.64491,0.28328,0.30251,0.17314,2.01367,1.73219,0.01341,0.001505,0.001505,0.001505
7,39.8669,1.87658,1.47667,0.00829,0.57471,0.30034,0.28597,0.14261,2.02332,2.0492,0.01426,0.001406,0.001406,0.001406
8,45.2529,1.7448,1.32919,0.00732,0.64922,0.33447,0.2972,0.17042,1.96513,1.95235,0.01334,0.001307,0.001307,0.001307
9,50.63,1.75159,1.24365,0.00761,0.62028,0.33447,0.30913,0.22221,1.46509,1.58755,0.00837,0.001208,0.001208,0.001208
10,56.0239,1.73935,1.23063,0.00746,0.40856,0.26962,0.22851,0.15086,1.57693,1.92747,0.00887,0.001109,0.001109,0.001109
11,71.8566,1.68895,1.29521,0.00796,0.74092,0.33788,0.33943,0.17824,2.15445,1.59356,0.01441,0.00101,0.00101,0.00101
12,77.2053,1.69864,1.27423,0.00786,0.69634,0.33788,0.32582,0.1797,2.00816,1.69822,0.01348,0.000911,0.000911,0.000911
13,82.5272,1.76419,1.30863,0.0076,0.68469,0.31058,0.31539,0.19422,1.87519,1.64171,0.01159,0.000812,0.000812,0.000812
14,87.8816,1.7283,1.17031,0.00756,0.6843,0.30331,0.33689,0.22403,1.74777,1.48717,0.01012,0.000713,0.000713,0.000713
15,93.2858,1.78248,1.19758,0.0077,0.74626,0.2911,0.34217,0.24064,1.64406,1.32786,0.00923,0.000614,0.000614,0.000614
16,98.6235,1.714,1.2013,0.0074,0.79469,0.2901,0.32459,0.17785,2.03102,1.60669,0.01288,0.000515,0.000515,0.000515
17,103.962,1.73085,1.17868,0.00766,0.73639,0.31741,0.30618,0.19285,1.73993,1.60181,0.01005,0.000416,0.000416,0.000416
18,109.276,1.6301,1.11938,0.00673,0.78879,0.30034,0.3119,0.18812,1.83942,1.63417,0.01115,0.000317,0.000317,0.000317
19,114.593,1.59523,1.0586,0.00662,0.7467,0.30034,0.30655,0.18471,1.85322,1.69401,0.01098,0.000218,0.000218,0.000218
20,119.932,1.57672,1.06287,0.00639,0.76586,0.2901,0.29996,0.18943,1.76621,1.66693,0.00975,0.000119,0.000119,0.000119
