epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8783,1.81521,6.56538,0.00745,0.57303,0.19113,0.20116,0.13388,2.13821,3.44287,0.01065,0.000650794,0.000650794,0.000650794
2,27.6141,2.06399,2.78624,0.00806,0.56175,0.27304,0.26046,0.13579,2.39332,2.81845,0.01245,0.00131001,0.00131001,0.00131001
3,40.3355,2.07542,2.31715,0.00802,0.57907,0.30717,0.28952,0.16535,2.25018,2.70888,0.01102,0.00196168,0.00196168,0.00196168
4,53.054,2.10106,2.09158,0.00844,0.51751,0.24232,0.20996,0.13017,2.42168,3.23298,0.01272,0.00196606,0.00196606,0.00196606
5,65.7562,2.208,2.04766,0.00807,0.71154,0.31058,0.28387,0.16881,2.27175,2.11639,0.01247,0.00195474,0.00195474,0.00195474
6,78.4171,2.13088,1.90489,0.00777,0.73039,0.31399,0.3026,0.15334,2.54434,2.34399,0.01493,0.00194343,0.00194343,0.00194343
7,91.0593,2.00168,1.76027,0.00804,0.69732,0.31058,0.28391,0.15121,2.43268,2.13632,0.01383,0.00193211,0.00193211,0.00193211
8,103.722,2.16639,1.86767,0.0076,0.67331,0.32423,0.27003,0.15847,2.33408,1.97625,0.01227,0.0019208,0.0019208,0.0019208
9,116.404,2.08756,1.79204,0.00732,0.72773,0.30104,0.26258,0.12468,2.59659,2.21992,0.0141,0.00190949,0.00190949,0.00190949
10,129.007,2.2417,1.95699,0.00718,0.76383,0.33116,0.29586,0.14194,2.6091,2.19169,0.01458,0.00189817,0.00189817,0.00189817
11,141.703,2.20305,1.8246,0.00735,0.694,0.32082,0.30707,0.16497,2.60224,2.6035,0.01257,0.00188686,0.00188686,0.00188686
12,154.351,2.12558,1.72085,0.00761,0.69327,0.30375,0.28142,0.1436,2.56258,1.96243,0.01291,0.00187554,0.00187554,0.00187554
13,167.01,2.01508,1.68317,0.00701,0.73564,0.32423,0.31234,0.18089,2.48366,1.92246,0.01175,0.00186423,0.00186423,0.00186423
14,179.706,2.04928,1.64964,0.00699,0.74528,0.32082,0.31282,0.18804,2.31197,1.88647,0.01137,0.00185291,0.00185291,0.00185291
15,192.427,2.06534,1.65869,0.0068,0.7537,0.32376,0.31081,0.17922,2.4979,1.93411,0.01153,0.0018416,0.0018416,0.0018416
16,205.088,2.11229,1.61685,0.00675,0.75581,0.30034,0.30441,0.18179,2.45148,1.89897,0.01077,0.00183029,0.00183029,0.00183029
17,217.77,1.94947,1.49603,0.00661,0.74497,0.329,0.34225,0.22326,2.36199,1.74559,0.00993,0.00181897,0.00181897,0.00181897
18,230.526,2.0656,1.6202,0.00691,0.72968,0.33106,0.34513,0.21097,2.40407,1.76757,0.01022,0.00180766,0.00180766,0.00180766
19,243.184,2.14437,1.71595,0.00694,0.63765,0.29693,0.31851,0.23016,2.14192,1.85652,0.0078,0.00179634,0.00179634,0.00179634
20,255.873,2.06185,1.58497,0.00651,0.70394,0.3413,0.31909,0.17903,2.45134,1.80895,0.01144,0.00178503,0.00178503,0.00178503
21,268.535,2.09145,1.59029,0.00683,0.72237,0.33746,0.34327,0.21423,2.37765,1.81365,0.01004,0.00177371,0.00177371,0.00177371
22,281.214,2.08918,1.51387,0.00653,0.69195,0.32966,0.32299,0.17621,2.53696,1.8991,0.0118,0.0017624,0.0017624,0.0017624
23,294.517,2.13021,1.60581,0.00655,0.72399,0.33447,0.36111,0.24822,2.17023,1.67606,0.00852,0.00175109,0.00175109,0.00175109
24,309.192,2.10222,1.66245,0.00645,0.74355,0.33447,0.33456,0.22358,2.19834,1.67661,0.00896,0.00173977,0.00173977,0.00173977
25,323.925,2.04772,1.62681,0.00629,0.69741,0.32252,0.3115,0.19642,2.27716,1.8269,0.01013,0.00172846,0.00172846,0.00172846
26,337.72,2.05721,1.52845,0.00639,0.76083,0.32571,0.33592,0.17927,2.64084,1.85293,0.01263,0.00171714,0.00171714,0.00171714
27,350.425,2.0342,1.52652,0.00648,0.70074,0.31968,0.32553,0.20127,2.4061,1.8543,0.01004,0.00170583,0.00170583,0.00170583
28,363.14,2.03724,1.57831,0.00633,0.72486,0.34812,0.33647,0.22084,2.23221,1.7044,0.00861,0.00169451,0.00169451,0.00169451
29,376.006,2.0399,1.5345,0.00623,0.72062,0.33447,0.33867,0.21868,2.3708,1.7617,0.00966,0.0016832,0.0016832,0.0016832
30,388.729,1.9978,1.48605,0.00611,0.78714,0.34077,0.34444,0.22927,2.31536,1.78289,0.00943,0.00167189,0.00167189,0.00167189
31,401.421,2.01182,1.54248,0.00661,0.73362,0.32082,0.34036,0.19198,2.48917,1.8874,0.01129,0.00166057,0.00166057,0.00166057
32,414.193,2.04146,1.51793,0.00602,0.78811,0.33006,0.32303,0.19193,2.46006,1.89927,0.01073,0.00164926,0.00164926,0.00164926
33,426.995,2.00537,1.50688,0.00611,0.86807,0.27304,0.30774,0.20269,2.21006,1.92887,0.00896,0.00163794,0.00163794,0.00163794
34,439.755,1.99468,1.45613,0.00618,0.77487,0.30375,0.32604,0.20649,2.36704,1.91142,0.01018,0.00162663,0.00162663,0.00162663
35,452.458,1.93894,1.42063,0.00619,0.73643,0.33788,0.35651,0.22684,2.24707,1.72226,0.00985,0.00161531,0.00161531,0.00161531
36,465.151,2.00774,1.50218,0.00579,0.83721,0.29841,0.33296,0.19366,2.32056,1.85365,0.01089,0.001604,0.001604,0.001604
37,477.871,2.00891,1.47107,0.00651,0.75393,0.29693,0.2923,0.18608,2.27613,2.04899,0.01012,0.00159269,0.00159269,0.00159269
38,490.572,1.86054,1.36117,0.00625,0.70859,0.32366,0.32647,0.20946,2.25216,1.8293,0.01011,0.00158137,0.00158137,0.00158137
39,503.277,1.94214,1.46715,0.00553,0.74051,0.32423,0.34242,0.21024,2.33798,1.78092,0.01018,0.00157006,0.00157006,0.00157006
40,515.955,1.95068,1.39337,0.00572,0.79111,0.29693,0.33684,0.19152,2.45812,1.85098,0.01066,0.00155874,0.00155874,0.00155874
41,528.67,2.04421,1.43233,0.0065,0.75974,0.33447,0.36728,0.22016,2.32636,1.7424,0.01013,0.00154743,0.00154743,0.00154743
42,541.327,1.98638,1.44556,0.00578,0.76212,0.32423,0.33922,0.2066,2.29542,1.7818,0.01025,0.00153611,0.00153611,0.00153611
43,554.064,1.96594,1.38808,0.0058,0.73487,0.34056,0.35505,0.22302,2.30565,1.69193,0.00974,0.0015248,0.0015248,0.0015248
44,566.776,2.05352,1.49337,0.00591,0.76868,0.3686,0.37806,0.24061,2.2572,1.60994,0.0097,0.00151349,0.00151349,0.00151349
45,579.542,2.07381,1.47897,0.00629,0.78677,0.33788,0.34862,0.20813,2.44586,1.79442,0.0107,0.00150217,0.00150217,0.00150217
46,592.265,1.98331,1.44379,0.00581,0.78221,0.3413,0.35115,0.21092,2.45791,1.76259,0.01042,0.00149086,0.00149086,0.00149086
47,604.945,1.93899,1.35205,0.00622,0.66314,0.35154,0.35062,0.17867,2.61853,1.82769,0.0126,0.00147954,0.00147954,0.00147954
48,617.592,1.90624,1.3386,0.00582,0.73206,0.29841,0.33503,0.20492,2.39065,1.88082,0.00998,0.00146823,0.00146823,0.00146823
49,630.339,2.01766,1.40697,0.00631,0.69343,0.35495,0.37252,0.23641,2.29199,1.65343,0.00928,0.00145691,0.00145691,0.00145691
50,643.003,1.94555,1.31965,0.0059,0.74199,0.3413,0.35796,0.19102,2.62631,1.79036,0.012,0.0014456,0.0014456,0.0014456
51,655.697,1.99564,1.43016,0.00583,0.75167,0.32423,0.33455,0.19863,2.48761,1.91391,0.0102,0.00143429,0.00143429,0.00143429
52,668.357,1.92386,1.37979,0.00568,0.7271,0.3413,0.33219,0.20995,2.38615,1.90972,0.00949,0.00142297,0.00142297,0.00142297
53,681.086,1.89077,1.32931,0.00559,0.78899,0.3413,0.37279,0.25453,2.27983,1.73536,0.00843,0.00141166,0.00141166,0.00141166
54,693.784,1.87147,1.34654,0.00575,0.79233,0.32554,0.35002,0.19754,2.54814,1.96518,0.01078,0.00140034,0.00140034,0.00140034
55,706.459,1.90819,1.40735,0.00564,0.75666,0.34471,0.36469,0.22179,2.34971,1.69443,0.00938,0.00138903,0.00138903,0.00138903
56,720.21,1.89588,1.36814,0.00553,0.76124,0.32765,0.33464,0.22404,2.20853,1.84708,0.00842,0.00137771,0.00137771,0.00137771
57,733.019,2.04114,1.45729,0.0059,0.74903,0.32596,0.33235,0.23957,2.13794,1.82916,0.00781,0.0013664,0.0013664,0.0013664
58,745.879,1.84578,1.3472,0.00556,0.7305,0.3608,0.37788,0.24919,2.25418,1.65601,0.0086,0.00135509,0.00135509,0.00135509
59,759.144,1.97531,1.42244,0.00538,0.7561,0.33106,0.35207,0.22467,2.38428,1.84868,0.00923,0.00134377,0.00134377,0.00134377
60,772.486,1.86163,1.3499,0.00529,0.71001,0.34471,0.35697,0.2327,2.3408,1.74867,0.00927,0.00133246,0.00133246,0.00133246
61,787.114,1.9338,1.37802,0.00578,0.6414,0.32765,0.33684,0.19142,2.46537,1.88009,0.01125,0.00132114,0.00132114,0.00132114
62,801.784,1.88815,1.35854,0.0053,0.69835,0.33788,0.34908,0.21954,2.39473,1.87052,0.01015,0.00130983,0.00130983,0.00130983
63,816.328,1.77645,1.32682,0.00518,0.76045,0.3413,0.34844,0.19337,2.47913,1.8447,0.01119,0.00129851,0.00129851,0.00129851
64,830.118,1.89894,1.35301,0.00496,0.78853,0.35154,0.36094,0.23901,2.1912,1.72242,0.00858,0.0012872,0.0012872,0.0012872
65,842.817,1.81417,1.26925,0.00553,0.7736,0.31399,0.34352,0.23275,2.18536,1.73592,0.00874,0.00127589,0.00127589,0.00127589
66,855.457,1.80262,1.27963,0.00512,0.72195,0.3413,0.34813,0.23854,2.20965,1.74999,0.0087,0.00126457,0.00126457,0.00126457
67,868.102,1.76048,1.24621,0.00498,0.74139,0.32082,0.35591,0.24316,2.14909,1.76085,0.00787,0.00125326,0.00125326,0.00125326
68,880.795,1.94487,1.41135,0.00526,0.80002,0.33447,0.35008,0.24051,2.16657,1.81413,0.00833,0.00124194,0.00124194,0.00124194
69,893.497,1.93164,1.37181,0.00552,0.76108,0.33703,0.36797,0.233,2.25747,1.6883,0.00932,0.00123063,0.00123063,0.00123063
70,906.21,1.81604,1.26092,0.00558,0.7851,0.31058,0.35403,0.22573,2.3323,1.74497,0.00973,0.00121931,0.00121931,0.00121931
71,918.883,1.91225,1.41189,0.00537,0.74219,0.32423,0.33496,0.21669,2.30144,1.80397,0.00913,0.001208,0.001208,0.001208
72,931.552,1.85542,1.37135,0.00529,0.647,0.33154,0.35715,0.2533,2.11412,1.73188,0.00762,0.00119669,0.00119669,0.00119669
73,944.215,1.85941,1.34104,0.00509,0.76911,0.32423,0.35195,0.25403,2.19362,1.78858,0.00807,0.00118537,0.00118537,0.00118537
74,956.927,1.84682,1.32354,0.00497,0.65821,0.35154,0.36759,0.24257,2.23588,1.74239,0.00841,0.00117406,0.00117406,0.00117406
75,969.577,1.80676,1.26216,0.00503,0.76361,0.33106,0.35239,0.23225,2.27011,1.85465,0.00895,0.00116274,0.00116274,0.00116274
76,982.233,1.89093,1.33713,0.00514,0.70766,0.33047,0.34549,0.2349,2.28157,1.8211,0.00885,0.00115143,0.00115143,0.00115143
77,994.952,1.85453,1.27726,0.0051,0.74514,0.3413,0.35527,0.20956,2.42853,1.83279,0.0107,0.00114011,0.00114011,0.00114011
78,1007.58,1.82834,1.25711,0.00517,0.77887,0.33447,0.34981,0.23926,2.22499,1.77089,0.00816,0.0011288,0.0011288,0.0011288
79,1020.25,1.76986,1.21948,0.00495,0.81747,0.31058,0.35917,0.26136,2.12856,1.65507,0.00772,0.00111749,0.00111749,0.00111749
80,1032.98,1.84086,1.32406,0.00538,0.78061,0.32765,0.36682,0.23155,2.27904,1.71483,0.0091,0.00110617,0.00110617,0.00110617
81,1045.66,1.87107,1.32049,0.00544,0.74038,0.33447,0.36596,0.2216,2.35447,1.70368,0.00946,0.00109486,0.00109486,0.00109486
82,1058.32,1.92416,1.33787,0.00508,0.69238,0.33447,0.36626,0.23507,2.27451,1.66633,0.00894,0.00108354,0.00108354,0.00108354
83,1071.05,1.84412,1.29096,0.0047,0.83212,0.31741,0.3649,0.23845,2.19995,1.72997,0.00845,0.00107223,0.00107223,0.00107223
84,1083.81,1.75406,1.26197,0.00456,0.77177,0.34471,0.37904,0.26066,2.19279,1.67387,0.00759,0.00106091,0.00106091,0.00106091
85,1096.68,1.74988,1.23716,0.00509,0.79391,0.35154,0.3865,0.24247,2.27625,1.72114,0.00868,0.0010496,0.0010496,0.0010496
