epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84506,2.71289,4.79213,2.21155,0,0,0,0,2.2395,4.42075,2.63611,8e-05,8e-05,8e-05
2,3.58577,2.70444,4.66097,2.15814,0,0,0,0,1.93611,4.46877,2.61643,0.000176436,0.000176436,0.000176436
3,4.27448,2.00547,3.34002,1.62526,0,0,0,0,1.85782,4.44959,2.60699,0.000268912,0.000268912,0.000268912
4,4.92371,1.30821,2.49438,1.242,0,0,0,0,1.81333,4.41814,2.58746,0.000357428,0.000357428,0.000357428
5,5.57829,1.51197,2.38217,1.28524,0.00033,0.1,0.00019,2e-05,1.72926,4.3739,2.51283,0.000441984,0.000441984,0.000441984
6,6.23448,1.40543,2.27149,1.20724,0.00033,0.1,0.00028,3e-05,1.64147,4.38723,2.43628,0.00052258,0.00052258,0.00052258
7,6.90113,1.24086,1.84288,1.12524,0.00133,0.4,0.00238,0.00058,1.5509,4.25237,2.22004,0.000599216,0.000599216,0.000599216
8,7.56049,1.08023,1.72467,1.04513,0.00267,0.8,0.00776,0.00316,1.4081,3.82506,1.7751,0.000671892,0.000671892,0.000671892
9,8.23894,1.01299,1.60356,1.02384,0.003,0.9,0.00946,0.00678,1.01019,3.36263,1.29068,0.000740608,0.000740608,0.000740608
10,8.88444,1.10812,1.61862,1.08111,0.00333,1,0.01675,0.01428,0.80906,3.15298,1.1023,0.000805364,0.000805364,0.000805364
11,9.5386,1.0876,1.45911,1.02551,0.00333,1,0.45765,0.41145,0.64729,2.69132,0.91723,0.00086616,0.00086616,0.00086616
12,10.1818,0.98845,1.38956,1.00509,0.02135,1,0.58452,0.52861,0.59865,2.53368,0.86685,0.000922996,0.000922996,0.000922996
13,10.8338,0.97464,1.35451,0.99268,0.56422,0.6,0.59699,0.53028,0.56531,2.36946,0.84769,0.000975872,0.000975872,0.000975872
14,11.4972,0.96773,1.33963,0.96361,0.86146,0.62417,0.93152,0.86166,0.48357,2.04704,0.83823,0.00102479,0.00102479,0.00102479
15,12.1478,0.8967,1.2983,0.96689,1,0.88978,0.995,0.95087,0.37641,1.74764,0.81216,0.00106974,0.00106974,0.00106974
16,12.7943,0.86576,1.20432,0.9489,1,0.98076,0.995,0.97169,0.34812,1.49567,0.79458,0.00111074,0.00111074,0.00111074
17,13.4447,0.90113,1.15895,0.93718,0.98791,1,0.995,0.94504,0.36754,0.93646,0.78888,0.00114778,0.00114778,0.00114778
18,14.0764,0.82812,1.11692,0.94666,0.99269,1,0.995,0.94504,0.36482,0.79369,0.78584,0.00118085,0.00118085,0.00118085
19,14.7159,0.85362,1.14955,0.93054,0.99466,1,0.995,0.93429,0.36736,0.82183,0.78554,0.00120997,0.00120997,0.00120997
